2017-02-12 11:38:37,383 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarting] [Line=48] - Starting DemoAngularBootApplicationTests on Sancardenasv-PC with PID 4040 (started by Sancardenasv in C:\Users\Sancardenasv\workspace\demo-angular-boot)
2017-02-12 11:38:37,385 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStartupProfileInfo] [Line=641] - The following profiles are active: production
2017-02-12 11:38:37,425 [main] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=prepareRefresh] [Line=582] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@1761de10: startup date [Sun Feb 12 11:38:37 COT 2017]; root of context hierarchy
2017-02-12 11:38:38,208 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:38:38,344 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:38:38,742 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Method=initControllerAdviceCache] [Line=534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@1761de10: startup date [Sun Feb 12 11:38:37 COT 2017]; root of context hierarchy
2017-02-12 11:38:38,798 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/api/contactList],methods=[GET]}" onto public java.util.List<com.aldeamo.training.entity.Contact> com.aldeamo.training.controller.DemoAngularBootController.returnContactList()
2017-02-12 11:38:38,800 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-02-12 11:38:38,805 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-02-12 11:38:38,830 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:38:38,830 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:38:38,865 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:38:38,892 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping [Method=<init>] [Line=510] - Adding welcome page: ServletContext resource [/index.html]
2017-02-12 11:38:39,003 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarted] [Line=57] - Started DemoAngularBootApplicationTests in 2.026 seconds (JVM running for 3.608)
2017-02-12 11:38:39,041 [Thread-2] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=doClose] [Line=987] - Closing org.springframework.web.context.support.GenericWebApplicationContext@1761de10: startup date [Sun Feb 12 11:38:37 COT 2017]; root of context hierarchy
